grid;level1;level2;level3;level4;level5;activitySum;activityCategory
679:362;1;83.84;150.08;193.28;222.08;30;1
680:319;1;51.8;104.6;129.2;154.9;290;5
680:320;1;102.4;205.8;250.2;295.6;363;5
680:321;1;104;186;240;276;368;5
680:322;1;104;186;240;276;290;5
680:323;1;104;186;240;276;245;4
680:324;1;104;186;240;276;271;4
680:325;1;104;186;240;276;296;5
680:326;1;104;186;240;276;389;5
680:327;1;104;186;240;276;334;5
680:328;1;104;186;240;276;346;5
680:329;1;104;186;240;276;301;5
680:330;1;104;186;240;276;289;5
680:331;1;104;186;240;276;343;5
680:332;1;104;186;240;276;353;5
680:333;1;104;186;240;276;346;5
680:334;1;104;186;240;276;349;5
680:335;1;104;186;240;276;361;5
680:336;1;104;186;240;276;306;5
680:337;1;104;186;240;276;341;5
680:338;1;104;186;240;276;325;5
680:339;1;104;186;240;276;417;5
680:340;1;104;186;240;276;355;5
680:341;1;83.2;148.8;192;220.8;329;5
680:342;1;104;186;240;276;267;4
680:343;1;104;186;240;276;287;5
680:344;1;104;186;240;276;264;4
680:345;1;104;186;240;276;357;5
680:346;1;104;186;240;276;306;5
680:347;1;104;186;240;276;249;4
680:348;1;104;186;240;276;269;4
680:349;1;104;186;240;276;248;4
680:350;1;104;186;240;276;216;3
680:351;1;104;186;240;276;203;3
680:352;1;104;186;240;276;226;3
680:353;1;104;186;240;276;221;3
680:354;1;83.2;148.8;192;220.8;225;5
680:355;1;83.2;148.8;192;220.8;210;4
680:356;1;83.2;148.8;192;220.8;169;3
680:357;1;83.2;148.8;192;220.8;239;5
680:358;1;104;186;240;276;271;4
680:359;1;104;186;240;276;201;3
680:360;1;104;186;240;276;271;4
680:361;1;104;186;240;276;277;5
680:362;1;83.2;148.8;192;220.8;237;5
681:319;1;19.5;40;52.2;65.3;78;5
681:320;1;93.2;187.4;228.3;270.1;302;5
681:321;1;103.2;184.4;238.4;274.4;334;5
681:322;1;103.2;184.4;238.4;274.4;279;5
681:323;1;103.2;184.4;238.4;274.4;302;5
681:324;1;103.2;184.4;238.4;274.4;292;5
681:325;1;103.2;184.4;238.4;274.4;335;5
681:326;1;103.2;184.4;238.4;274.4;284;5
681:327;1;103.2;184.4;238.4;274.4;310;5
681:328;1;103.2;184.4;238.4;274.4;360;5
681:329;1;103.2;184.4;238.4;274.4;325;5
681:330;1;103.2;184.4;238.4;274.4;330;5
681:331;1;103.2;184.4;238.4;274.4;290;5
681:332;1;103.2;184.4;238.4;274.4;289;5
681:333;1;103.2;184.4;238.4;274.4;304;5
681:334;1;82.56;147.52;190.72;219.52;343;5
681:335;1;103.2;184.4;238.4;274.4;285;5
681:336;1;103.2;184.4;238.4;274.4;294;5
681:337;1;103.2;184.4;238.4;274.4;292;5
681:338;1;103.2;184.4;238.4;274.4;279;5
681:339;1;103.2;184.4;238.4;274.4;293;5
681:340;1;103.2;184.4;238.4;274.4;323;5
681:341;1;82.56;147.52;190.72;219.52;311;5
681:342;1;103.2;184.4;238.4;274.4;254;4
681:343;1;103.2;184.4;238.4;274.4;277;5
681:344;1;103.2;184.4;238.4;274.4;251;4
681:345;1;103.2;184.4;238.4;274.4;276;5
681:346;1;103.2;184.4;238.4;274.4;276;5
681:347;1;103.2;184.4;238.4;274.4;243;4
681:348;1;103.2;184.4;238.4;274.4;264;4
681:349;1;103.2;184.4;238.4;274.4;282;5
681:350;1;103.2;184.4;238.4;274.4;239;4
681:351;1;103.2;184.4;238.4;274.4;217;3
681:352;1;103.2;184.4;238.4;274.4;219;3
681:353;1;103.2;184.4;238.4;274.4;198;3
681:354;1;103.2;184.4;238.4;274.4;204;3
681:355;1;82.56;147.52;190.72;219.52;226;5
681:356;1;103.2;184.4;238.4;274.4;215;3
681:357;1;103.2;184.4;238.4;274.4;233;3
681:358;1;103.2;184.4;238.4;274.4;256;4
681:359;1;103.2;184.4;238.4;274.4;230;3
681:360;1;103.2;184.4;238.4;274.4;228;3
681:361;1;103.2;184.4;238.4;274.4;205;3
681:362;1;103.2;184.4;238.4;274.4;385;5
681:363;1;82.56;147.52;190.72;219.52;220;5
682:319;1;51.8;104.6;129.2;154.9;238;5
682:320;1;85.9;172.8;210.8;249.8;279;5
682:321;1;102.4;182.8;236.8;272.8;346;5
682:322;1;102.4;182.8;236.8;272.8;252;4
682:323;1;102.4;182.8;236.8;272.8;337;5
682:324;1;102.4;182.8;236.8;272.8;327;5
682:325;1;102.4;182.8;236.8;272.8;276;5
682:326;1;102.4;182.8;236.8;272.8;293;5
682:327;1;102.4;182.8;236.8;272.8;282;5
682:328;1;102.4;182.8;236.8;272.8;319;5
682:329;1;102.4;182.8;236.8;272.8;357;5
682:330;1;102.4;182.8;236.8;272.8;365;5
682:331;1;102.4;182.8;236.8;272.8;350;5
682:332;1;102.4;182.8;236.8;272.8;369;5
682:333;1;102.4;182.8;236.8;272.8;378;5
682:334;1;102.4;182.8;236.8;272.8;312;5
682:335;1;102.4;182.8;236.8;272.8;308;5
682:336;1;102.4;182.8;236.8;272.8;292;5
682:337;1;102.4;182.8;236.8;272.8;300;5
682:338;1;102.4;182.8;236.8;272.8;274;5
682:339;1;102.4;182.8;236.8;272.8;260;4
682:340;1;102.4;182.8;236.8;272.8;231;3
682:341;1;81.92;146.24;189.44;218.24;184;3
682:342;1;102.4;182.8;236.8;272.8;314;5
682:343;1;102.4;182.8;236.8;272.8;293;5
682:344;1;102.4;182.8;236.8;272.8;331;5
682:345;1;102.4;182.8;236.8;272.8;291;5
682:346;1;102.4;182.8;236.8;272.8;281;5
682:347;1;102.4;182.8;236.8;272.8;264;4
682:348;1;102.4;182.8;236.8;272.8;288;5
682:349;1;102.4;182.8;236.8;272.8;263;4
682:350;1;102.4;182.8;236.8;272.8;304;5
682:351;1;102.4;182.8;236.8;272.8;295;5
682:352;1;102.4;182.8;236.8;272.8;219;3
682:353;1;102.4;182.8;236.8;272.8;186;3
682:354;1;102.4;182.8;236.8;272.8;260;4
682:355;1;102.4;182.8;236.8;272.8;219;3
682:356;1;102.4;182.8;236.8;272.8;203;3
682:357;1;102.4;182.8;236.8;272.8;204;3
682:358;1;102.4;182.8;236.8;272.8;212;3
682:359;1;102.4;182.8;236.8;272.8;216;3
682:360;1;102.4;182.8;236.8;272.8;260;4
682:361;1;102.4;182.8;236.8;272.8;249;4
682:362;1;102.4;182.8;236.8;272.8;283;5
682:363;1;102.4;182.8;236.8;272.8;391;5
682:364;1;81.92;146.24;189.44;218.24;160;3
683:319;1;51.8;104.6;129.2;154.9;286;5
