grid;level1;level2;level3;level4;level5;activitySum;activityCategory
688:365;1;97.6;173.2;227.2;263.2;314;5
688:366;1;97.6;173.2;227.2;263.2;251;4
688:367;1;97.6;173.2;227.2;263.2;233;4
688:368;1;78.08;138.56;181.76;210.56;83;2
689:319;1;19.5;40;52.2;65.3;67;5
689:320;1;110.9;222.8;270.4;319.1;371;5
689:321;1;96.8;171.6;225.6;261.6;273;5
689:322;1;96.8;171.6;225.6;261.6;295;5
689:323;1;96.8;171.6;225.6;261.6;280;5
689:324;1;96.8;171.6;225.6;261.6;328;5
689:325;1;96.8;171.6;225.6;261.6;269;5
689:326;1;96.8;171.6;225.6;261.6;236;4
689:327;1;96.8;171.6;225.6;261.6;244;4
689:328;1;96.8;171.6;225.6;261.6;241;4
689:329;1;96.8;171.6;225.6;261.6;240;4
689:330;1;96.8;171.6;225.6;261.6;231;4
689:331;1;96.8;171.6;225.6;261.6;193;3
689:332;1;96.8;171.6;225.6;261.6;267;5
689:333;1;96.8;171.6;225.6;261.6;333;5
689:334;1;96.8;171.6;225.6;261.6;276;5
689:335;1;96.8;171.6;225.6;261.6;284;5
689:336;1;96.8;171.6;225.6;261.6;283;5
689:337;1;96.8;171.6;225.6;261.6;320;5
689:338;1;96.8;171.6;225.6;261.6;245;4
689:339;1;96.8;171.6;225.6;261.6;189;3
689:340;1;96.8;171.6;225.6;261.6;232;4
689:341;1;96.8;171.6;225.6;261.6;216;3
689:342;1;96.8;171.6;225.6;261.6;273;5
689:343;1;96.8;171.6;225.6;261.6;303;5
689:344;1;96.8;171.6;225.6;261.6;246;4
689:345;1;96.8;171.6;225.6;261.6;241;4
689:346;1;96.8;171.6;225.6;261.6;230;4
689:347;1;96.8;171.6;225.6;261.6;172;3
689:348;1;96.8;171.6;225.6;261.6;174;3
689:349;1;96.8;171.6;225.6;261.6;181;3
689:350;1;96.8;171.6;225.6;261.6;195;3
689:351;1;96.8;171.6;225.6;261.6;173;3
689:352;1;96.8;171.6;225.6;261.6;207;3
689:353;1;96.8;171.6;225.6;261.6;214;3
689:354;1;96.8;171.6;225.6;261.6;267;5
689:355;1;96.8;171.6;225.6;261.6;216;3
689:356;1;96.8;171.6;225.6;261.6;249;4
689:357;1;77.44;137.28;180.48;209.28;276;5
689:358;1;77.44;137.28;180.48;209.28;205;4
689:359;1;96.8;171.6;225.6;261.6;253;4
689:360;1;96.8;171.6;225.6;261.6;174;3
689:361;1;96.8;171.6;225.6;261.6;182;3
689:362;1;77.44;137.28;180.48;209.28;142;3
689:363;1;96.8;171.6;225.6;261.6;223;3
689:364;1;96.8;171.6;225.6;261.6;221;3
689:365;1;96.8;171.6;225.6;261.6;262;5
689:366;1;96.8;171.6;225.6;261.6;357;5
689:367;1;96.8;171.6;225.6;261.6;283;5
689:368;1;96.8;171.6;225.6;261.6;220;3
690:320;1;105.7;212.4;258.1;304.7;345;5
690:321;1;96;170;224;260;284;5
690:322;1;96;170;224;260;302;5
690:323;1;96;170;224;260;277;5
690:324;1;96;170;224;260;268;5
690:325;1;96;170;224;260;271;5
690:326;1;96;170;224;260;317;5
690:327;1;96;170;224;260;235;4
690:328;1;96;170;224;260;238;4
690:329;1;96;170;224;260;210;3
690:330;1;96;170;224;260;240;4
690:331;1;96;170;224;260;230;4
690:332;1;96;170;224;260;250;4
690:333;1;96;170;224;260;269;5
690:334;1;96;170;224;260;286;5
690:335;1;96;170;224;260;250;4
690:336;1;96;170;224;260;398;5
690:337;1;96;170;224;260;320;5
690:338;1;96;170;224;260;319;5
690:339;1;96;170;224;260;300;5
690:340;1;96;170;224;260;316;5
690:341;1;96;170;224;260;238;4
690:342;1;96;170;224;260;269;5
690:343;1;96;170;224;260;356;5
690:344;1;96;170;224;260;264;5
690:345;1;96;170;224;260;320;5
690:346;1;96;170;224;260;333;5
690:347;1;96;170;224;260;233;4
690:348;1;96;170;224;260;191;3
690:349;1;96;170;224;260;181;3
690:350;1;96;170;224;260;277;5
690:351;1;96;170;224;260;200;3
690:352;1;96;170;224;260;190;3
690:353;1;96;170;224;260;302;5
690:354;1;96;170;224;260;293;5
690:355;1;96;170;224;260;228;4
690:356;1;76.8;136;179.2;208;146;3
690:357;1;96;170;224;260;173;3
690:358;1;96;170;224;260;182;3
690:359;1;96;170;224;260;179;3
690:360;1;96;170;224;260;171;3
690:361;1;96;170;224;260;182;3
690:362;1;76.8;136;179.2;208;142;3
690:363;1;76.8;136;179.2;208;237;5
690:364;1;96;170;224;260;339;5
690:365;1;96;170;224;260;303;5
690:366;1;96;170;224;260;251;4
690:367;1;96;170;224;260;330;5
690:368;1;96;170;224;260;402;5
690:369;1;76.8;136;179.2;208;156;3
691:320;1;85.9;172.8;210.8;249.8;270;5
691:321;1;95.2;168.4;222.4;258.4;293;5
691:322;1;95.2;168.4;222.4;258.4;252;4
691:323;1;95.2;168.4;222.4;258.4;225;4
691:324;1;95.2;168.4;222.4;258.4;241;4
691:325;1;95.2;168.4;222.4;258.4;252;4
691:326;1;95.2;168.4;222.4;258.4;265;5
691:327;1;95.2;168.4;222.4;258.4;245;4
691:328;1;95.2;168.4;222.4;258.4;243;4
691:329;1;95.2;168.4;222.4;258.4;231;4
691:330;1;95.2;168.4;222.4;258.4;276;5
691:331;1;95.2;168.4;222.4;258.4;234;4
691:332;1;95.2;168.4;222.4;258.4;300;5
691:333;1;95.2;168.4;222.4;258.4;285;5
691:334;1;95.2;168.4;222.4;258.4;233;4
691:335;1;95.2;168.4;222.4;258.4;251;4
691:336;1;95.2;168.4;222.4;258.4;275;5
691:337;1;95.2;168.4;222.4;258.4;300;5
691:338;1;95.2;168.4;222.4;258.4;259;5
691:339;1;95.2;168.4;222.4;258.4;249;4
691:340;1;95.2;168.4;222.4;258.4;289;5
691:341;1;95.2;168.4;222.4;258.4;253;4
691:342;1;95.2;168.4;222.4;258.4;261;5
691:343;1;95.2;168.4;222.4;258.4;325;5
691:344;1;95.2;168.4;222.4;258.4;338;5
691:345;1;95.2;168.4;222.4;258.4;246;4
691:346;1;95.2;168.4;222.4;258.4;237;4
691:347;1;95.2;168.4;222.4;258.4;312;5
691:348;1;95.2;168.4;222.4;258.4;201;3
691:349;1;95.2;168.4;222.4;258.4;222;3
691:350;1;95.2;168.4;222.4;258.4;307;5
691:351;1;95.2;168.4;222.4;258.4;200;3
691:352;1;95.2;168.4;222.4;258.4;215;3
691:353;1;95.2;168.4;222.4;258.4;175;3
691:354;1;95.2;168.4;222.4;258.4;279;5
691:355;1;95.2;168.4;222.4;258.4;182;3
691:356;1;95.2;168.4;222.4;258.4;175;3
691:357;1;95.2;168.4;222.4;258.4;208;3
691:358;1;95.2;168.4;222.4;258.4;260;5
691:359;1;95.2;168.4;222.4;258.4;232;4
691:360;1;95.2;168.4;222.4;258.4;193;3
691:361;1;95.2;168.4;222.4;258.4;186;3
691:362;1;76.16;134.72;177.92;206.72;217;5
691:363;1;95.2;168.4;222.4;258.4;261;5
691:364;1;95.2;168.4;222.4;258.4;305;5
691:365;1;95.2;168.4;222.4;258.4;266;5
691:366;1;95.2;168.4;222.4;258.4;296;5
691:367;1;95.2;168.4;222.4;258.4;243;4
691:368;1;95.2;168.4;222.4;258.4;233;4
691:369;1;95.2;168.4;222.4;258.4;187;3
691:370;1;76.16;134.72;177.92;206.72;149;3
692:319;1;51.8;104.6;129.2;154.9;164;5
692:320;1;93.2;187.4;228.3;270.1;413;5
692:321;1;94.4;166.8;220.8;256.8;288;5
692:322;1;94.4;166.8;220.8;256.8;268;5
692:323;1;94.4;166.8;220.8;256.8;288;5
692:324;1;94.4;166.8;220.8;256.8;286;5
692:325;1;94.4;166.8;220.8;256.8;265;5
692:326;1;94.4;166.8;220.8;256.8;277;5
692:327;1;94.4;166.8;220.8;256.8;238;4
692:328;1;94.4;166.8;220.8;256.8;262;5
692:329;1;94.4;166.8;220.8;256.8;308;5
692:330;1;94.4;166.8;220.8;256.8;225;4
692:331;1;94.4;166.8;220.8;256.8;231;4
692:332;1;94.4;166.8;220.8;256.8;229;4
692:333;1;94.4;166.8;220.8;256.8;326;5
692:334;1;94.4;166.8;220.8;256.8;330;5
692:335;1;94.4;166.8;220.8;256.8;182;3
692:336;1;94.4;166.8;220.8;256.8;261;5
692:337;1;94.4;166.8;220.8;256.8;202;3
692:338;1;94.4;166.8;220.8;256.8;307;5
692:339;1;94.4;166.8;220.8;256.8;245;4
692:340;1;94.4;166.8;220.8;256.8;209;3
692:341;1;94.4;166.8;220.8;256.8;286;5
692:342;1;94.4;166.8;220.8;256.8;285;5
692:343;1;94.4;166.8;220.8;256.8;271;5
692:344;1;94.4;166.8;220.8;256.8;282;5
692:345;1;94.4;166.8;220.8;256.8;259;5
692:346;1;94.4;166.8;220.8;256.8;238;4
692:347;1;94.4;166.8;220.8;256.8;270;5
692:348;1;94.4;166.8;220.8;256.8;185;3
692:349;1;94.4;166.8;220.8;256.8;171;3
692:350;1;94.4;166.8;220.8;256.8;238;4
692:351;1;94.4;166.8;220.8;256.8;221;4
692:352;1;94.4;166.8;220.8;256.8;175;3
692:353;1;94.4;166.8;220.8;256.8;271;5
692:354;1;94.4;166.8;220.8;256.8;236;4
692:355;1;94.4;166.8;220.8;256.8;171;3
692:356;1;94.4;166.8;220.8;256.8;172;3
692:357;1;94.4;166.8;220.8;256.8;223;4
692:358;1;94.4;166.8;220.8;256.8;307;5
692:359;1;94.4;166.8;220.8;256.8;230;4
692:360;1;94.4;166.8;220.8;256.8;171;3
692:361;1;94.4;166.8;220.8;256.8;234;4
692:362;1;75.52;133.44;176.64;205.44;177;4
692:363;1;75.52;133.44;176.64;205.44;234;5
692:364;1;75.52;133.44;176.64;205.44;279;5
692:365;1;94.4;166.8;220.8;256.8;356;5
692:366;1;94.4;166.8;220.8;256.8;276;5
692:367;1;94.4;166.8;220.8;256.8;275;5
692:368;1;94.4;166.8;220.8;256.8;236;4
692:369;1;94.4;166.8;220.8;256.8;230;4
692:370;1;94.4;166.8;220.8;256.8;191;3
692:371;1;75.52;133.44;176.64;205.44;16;1
693:319;1;73.4;147.9;181;215.1;203;4
693:320;1;110.9;222.8;270.4;319.1;372;5
693:321;1;93.6;165.2;219.2;255.2;305;5
693:322;1;93.6;165.2;219.2;255.2;300;5
693:323;1;93.6;165.2;219.2;255.2;338;5
693:324;1;93.6;165.2;219.2;255.2;275;5
693:325;1;93.6;165.2;219.2;255.2;267;5
693:326;1;93.6;165.2;219.2;255.2;237;4
693:327;1;93.6;165.2;219.2;255.2;225;4
693:328;1;93.6;165.2;219.2;255.2;319;5
693:329;1;93.6;165.2;219.2;255.2;240;4
693:330;1;93.6;165.2;219.2;255.2;168;3
693:331;1;93.6;165.2;219.2;255.2;234;4
693:332;1;93.6;165.2;219.2;255.2;189;3
693:333;1;93.6;165.2;219.2;255.2;200;3
693:334;1;93.6;165.2;219.2;255.2;263;5
693:335;1;93.6;165.2;219.2;255.2;222;4
693:336;1;93.6;165.2;219.2;255.2;194;3
693:337;1;93.6;165.2;219.2;255.2;210;3
693:338;1;93.6;165.2;219.2;255.2;268;5
693:339;1;93.6;165.2;219.2;255.2;238;4
693:340;1;93.6;165.2;219.2;255.2;240;4
693:341;1;93.6;165.2;219.2;255.2;269;5
693:342;1;93.6;165.2;219.2;255.2;261;5
693:343;1;93.6;165.2;219.2;255.2;265;5
693:344;1;93.6;165.2;219.2;255.2;246;4
693:345;1;93.6;165.2;219.2;255.2;268;5
693:346;1;93.6;165.2;219.2;255.2;245;4
693:347;1;93.6;165.2;219.2;255.2;183;3
693:348;1;93.6;165.2;219.2;255.2;173;3
693:349;1;93.6;165.2;219.2;255.2;180;3
693:350;1;93.6;165.2;219.2;255.2;182;3
693:351;1;93.6;165.2;219.2;255.2;184;3
693:352;1;93.6;165.2;219.2;255.2;192;3
693:353;1;93.6;165.2;219.2;255.2;305;5
693:354;1;93.6;165.2;219.2;255.2;227;4
693:355;1;93.6;165.2;219.2;255.2;201;3
693:356;1;93.6;165.2;219.2;255.2;175;3
693:357;1;93.6;165.2;219.2;255.2;222;4
693:358;1;93.6;165.2;219.2;255.2;283;5
693:359;1;93.6;165.2;219.2;255.2;185;3
693:360;1;93.6;165.2;219.2;255.2;200;3
693:361;1;93.6;165.2;219.2;255.2;271;5
693:362;1;93.6;165.2;219.2;255.2;262;5
693:363;1;74.88;132.16;175.36;204.16;213;5
693:364;1;74.88;132.16;175.36;204.16;240;5
693:365;1;93.6;165.2;219.2;255.2;290;5
693:366;1;93.6;165.2;219.2;255.2;291;5
693:367;1;93.6;165.2;219.2;255.2;294;5
693:368;1;93.6;165.2;219.2;255.2;242;4
693:369;1;93.6;165.2;219.2;255.2;180;3
693:370;1;93.6;165.2;219.2;255.2;179;3
693:371;1;74.88;132.16;175.36;204.16;159;3
694:319;1;73.4;147.9;181;215.1;244;5
694:320;1;92.8;163.6;217.6;253.6;323;5
694:321;1;92.8;163.6;217.6;253.6;270;5
694:322;1;92.8;163.6;217.6;253.6;323;5
694:323;1;92.8;163.6;217.6;253.6;286;5
694:324;1;92.8;163.6;217.6;253.6;278;5
694:325;1;92.8;163.6;217.6;253.6;277;5
694:326;1;92.8;163.6;217.6;253.6;258;5
694:327;1;92.8;163.6;217.6;253.6;296;5
694:328;1;92.8;163.6;217.6;253.6;267;5
694:329;1;92.8;163.6;217.6;253.6;227;4
694:330;1;92.8;163.6;217.6;253.6;171;3
694:331;1;92.8;163.6;217.6;253.6;227;4
694:332;1;92.8;163.6;217.6;253.6;231;4
694:333;1;92.8;163.6;217.6;253.6;211;3
694:334;1;92.8;163.6;217.6;253.6;237;4
694:335;1;92.8;163.6;217.6;253.6;261;5
694:336;1;92.8;163.6;217.6;253.6;169;3
694:337;1;92.8;163.6;217.6;253.6;192;3
694:338;1;92.8;163.6;217.6;253.6;231;4
694:339;1;92.8;163.6;217.6;253.6;261;5
694:340;1;92.8;163.6;217.6;253.6;221;4
694:341;1;92.8;163.6;217.6;253.6;292;5
694:342;1;92.8;163.6;217.6;253.6;277;5
694:343;1;92.8;163.6;217.6;253.6;317;5
694:344;1;92.8;163.6;217.6;253.6;275;5
694:345;1;92.8;163.6;217.6;253.6;234;4
694:346;1;92.8;163.6;217.6;253.6;271;5
694:347;1;74.24;130.88;174.08;202.88;177;4
694:348;1;92.8;163.6;217.6;253.6;197;3
694:349;1;92.8;163.6;217.6;253.6;228;4
694:350;1;92.8;163.6;217.6;253.6;307;5
694:351;1;92.8;163.6;217.6;253.6;206;3
694:352;1;92.8;163.6;217.6;253.6;225;4
694:353;1;92.8;163.6;217.6;253.6;190;3
694:354;1;92.8;163.6;217.6;253.6;170;3
694:355;1;92.8;163.6;217.6;253.6;175;3
694:356;1;74.24;130.88;174.08;202.88;145;3
694:357;1;92.8;163.6;217.6;253.6;173;3
694:358;1;92.8;163.6;217.6;253.6;235;4
694:359;1;74.24;130.88;174.08;202.88;181;4
694:360;1;92.8;163.6;217.6;253.6;256;5
694:361;1;92.8;163.6;217.6;253.6;257;5
694:362;1;92.8;163.6;217.6;253.6;265;5
694:363;1;74.24;130.88;174.08;202.88;339;5
694:364;1;92.8;163.6;217.6;253.6;387;5
694:365;1;92.8;163.6;217.6;253.6;242;4
694:366;1;92.8;163.6;217.6;253.6;270;5
694:367;1;92.8;163.6;217.6;253.6;224;4
694:368;1;92.8;163.6;217.6;253.6;224;4
694:369;1;92.8;163.6;217.6;253.6;192;3
694:370;1;92.8;163.6;217.6;253.6;177;3
694:371;1;92.8;163.6;217.6;253.6;203;3
694:372;1;74.24;130.88;174.08;202.88;24;1
695:319;1;85.9;172.8;210.8;249.8;231;4
695:320;1;92;162;216;252;334;5
695:321;1;92;162;216;252;278;5
695:322;1;92;162;216;252;293;5
695:323;1;92;162;216;252;270;5
695:324;1;92;162;216;252;263;5
695:325;1;92;162;216;252;272;5
695:326;1;92;162;216;252;275;5
695:327;1;92;162;216;252;241;4
695:328;1;92;162;216;252;219;4
695:329;1;92;162;216;252;195;3
695:330;1;92;162;216;252;175;3
695:331;1;92;162;216;252;262;5
695:332;1;92;162;216;252;212;3
695:333;1;92;162;216;252;235;4
695:334;1;92;162;216;252;220;4
695:335;1;92;162;216;252;247;4
695:336;1;92;162;216;252;192;3
695:337;1;92;162;216;252;172;3
695:338;1;92;162;216;252;258;5
695:339;1;92;162;216;252;292;5
695:340;1;92;162;216;252;273;5
695:341;1;92;162;216;252;308;5
695:342;1;92;162;216;252;253;5
695:343;1;92;162;216;252;258;5
695:344;1;92;162;216;252;219;4
695:345;1;92;162;216;252;227;4
695:346;1;92;162;216;252;243;4
695:347;1;92;162;216;252;226;4
695:348;1;92;162;216;252;270;5
695:349;1;92;162;216;252;223;4
695:350;1;92;162;216;252;228;4
695:351;1;92;162;216;252;216;4
695:352;1;92;162;216;252;184;3
695:353;1;73.6;129.6;172.8;201.6;226;5
695:354;1;92;162;216;252;186;3
695:355;1;92;162;216;252;181;3
695:356;1;92;162;216;252;173;3
695:357;1;92;162;216;252;175;3
695:358;1;73.6;129.6;172.8;201.6;206;5
695:359;1;92;162;216;252;305;5
695:360;1;92;162;216;252;333;5
695:361;1;73.6;129.6;172.8;201.6;296;5
695:362;1;92;162;216;252;278;5
695:363;1;92;162;216;252;320;5
695:364;1;92;162;216;252;324;5
695:365;1;92;162;216;252;356;5
695:366;1;92;162;216;252;290;5
695:367;1;92;162;216;252;253;5
695:368;1;92;162;216;252;226;4
695:369;1;92;162;216;252;189;3
695:370;1;92;162;216;252;226;4
695:371;1;92;162;216;252;178;3
695:372;1;73.6;129.6;172.8;201.6;125;2
696:319;1;85.9;172.8;210.8;249.8;213;4
696:320;1;91.2;160.4;214.4;250.4;259;5
696:321;1;91.2;160.4;214.4;250.4;243;4
696:322;1;91.2;160.4;214.4;250.4;224;4
696:323;1;91.2;160.4;214.4;250.4;312;5
696:324;1;91.2;160.4;214.4;250.4;278;5
696:325;1;91.2;160.4;214.4;250.4;235;4
696:326;1;91.2;160.4;214.4;250.4;224;4
696:327;1;91.2;160.4;214.4;250.4;254;5
696:328;1;91.2;160.4;214.4;250.4;225;4
696:329;1;91.2;160.4;214.4;250.4;220;4
696:330;1;91.2;160.4;214.4;250.4;202;3
696:331;1;91.2;160.4;214.4;250.4;212;3
696:332;1;91.2;160.4;214.4;250.4;221;4
696:333;1;91.2;160.4;214.4;250.4;177;3
696:334;1;91.2;160.4;214.4;250.4;218;4
696:335;1;91.2;160.4;214.4;250.4;284;5
696:336;1;91.2;160.4;214.4;250.4;275;5
696:337;1;91.2;160.4;214.4;250.4;229;4
696:338;1;91.2;160.4;214.4;250.4;265;5
696:339;1;91.2;160.4;214.4;250.4;256;5
696:340;1;91.2;160.4;214.4;250.4;277;5
696:341;1;91.2;160.4;214.4;250.4;266;5
696:342;1;91.2;160.4;214.4;250.4;264;5
696:343;1;91.2;160.4;214.4;250.4;257;5
696:344;1;72.96;128.32;171.52;200.32;225;5
696:345;1;91.2;160.4;214.4;250.4;315;5
696:346;1;72.96;128.32;171.52;200.32;215;5
696:347;1;72.96;128.32;171.52;200.32;189;4
696:348;1;91.2;160.4;214.4;250.4;180;3
696:349;1;72.96;128.32;171.52;200.32;153;3
696:350;1;91.2;160.4;214.4;250.4;180;3
696:351;1;91.2;160.4;214.4;250.4;172;3
696:352;1;91.2;160.4;214.4;250.4;179;3
696:353;1;91.2;160.4;214.4;250.4;213;3
696:354;1;72.96;128.32;171.52;200.32;239;5
696:355;1;91.2;160.4;214.4;250.4;223;4
696:356;1;91.2;160.4;214.4;250.4;224;4
696:357;1;91.2;160.4;214.4;250.4;257;5
696:358;1;91.2;160.4;214.4;250.4;226;4
696:359;1;91.2;160.4;214.4;250.4;178;3
696:360;1;91.2;160.4;214.4;250.4;323;5
696:361;1;72.96;128.32;171.52;200.32;284;5
696:362;1;91.2;160.4;214.4;250.4;262;5
696:363;1;72.96;128.32;171.52;200.32;219;5
696:364;1;91.2;160.4;214.4;250.4;340;5
696:365;1;91.2;160.4;214.4;250.4;380;5
696:366;1;91.2;160.4;214.4;250.4;301;5
696:367;1;91.2;160.4;214.4;250.4;216;4
696:368;1;91.2;160.4;214.4;250.4;174;3
696:369;1;91.2;160.4;214.4;250.4;223;4
696:370;1;91.2;160.4;214.4;250.4;277;5
696:371;1;91.2;160.4;214.4;250.4;164;3
696:372;1;72.96;128.32;171.52;200.32;142;3
697:319;1;73.4;147.9;181;215.1;192;4
697:320;1;90.4;158.8;212.8;248.8;260;5
697:321;1;90.4;158.8;212.8;248.8;261;5
697:322;1;90.4;158.8;212.8;248.8;240;4
697:323;1;90.4;158.8;212.8;248.8;290;5
697:324;1;90.4;158.8;212.8;248.8;295;5
697:325;1;90.4;158.8;212.8;248.8;226;4
697:326;1;90.4;158.8;212.8;248.8;230;4
697:327;1;90.4;158.8;212.8;248.8;223;4
697:328;1;90.4;158.8;212.8;248.8;269;5
697:329;1;90.4;158.8;212.8;248.8;239;4
697:330;1;90.4;158.8;212.8;248.8;299;5
697:331;1;90.4;158.8;212.8;248.8;212;3
697:332;1;90.4;158.8;212.8;248.8;262;5
697:333;1;90.4;158.8;212.8;248.8;173;3
697:334;1;90.4;158.8;212.8;248.8;173;3
697:335;1;90.4;158.8;212.8;248.8;308;5
697:336;1;90.4;158.8;212.8;248.8;274;5
697:337;1;90.4;158.8;212.8;248.8;261;5
697:338;1;90.4;158.8;212.8;248.8;286;5
697:339;1;90.4;158.8;212.8;248.8;307;5
697:340;1;90.4;158.8;212.8;248.8;278;5
697:341;1;90.4;158.8;212.8;248.8;193;3
697:342;1;90.4;158.8;212.8;248.8;271;5
697:343;1;90.4;158.8;212.8;248.8;218;4
697:344;1;72.32;127.04;170.24;199.04;228;5
697:345;1;72.32;127.04;170.24;199.04;189;4
697:346;1;90.4;158.8;212.8;248.8;174;3
697:347;1;90.4;158.8;212.8;248.8;215;4
697:348;1;90.4;158.8;212.8;248.8;214;4
697:349;1;72.32;127.04;170.24;199.04;222;5
697:350;1;90.4;158.8;212.8;248.8;171;3
697:351;1;90.4;158.8;212.8;248.8;189;3
697:352;1;90.4;158.8;212.8;248.8;266;5
697:353;1;90.4;158.8;212.8;248.8;291;5
697:354;1;90.4;158.8;212.8;248.8;178;3
697:355;1;90.4;158.8;212.8;248.8;237;4
697:356;1;90.4;158.8;212.8;248.8;271;5
697:357;1;90.4;158.8;212.8;248.8;232;4
697:358;1;90.4;158.8;212.8;248.8;254;5
697:359;1;90.4;158.8;212.8;248.8;255;5
697:360;1;90.4;158.8;212.8;248.8;190;3
697:361;1;90.4;158.8;212.8;248.8;232;4
697:362;1;90.4;158.8;212.8;248.8;307;5
697:363;1;72.32;127.04;170.24;199.04;224;5
697:364;1;90.4;158.8;212.8;248.8;263;5
697:365;1;90.4;158.8;212.8;248.8;287;5
697:366;1;90.4;158.8;212.8;248.8;334;5
697:367;1;90.4;158.8;212.8;248.8;200;3
697:368;1;90.4;158.8;212.8;248.8;170;3
697:369;1;90.4;158.8;212.8;248.8;246;4
697:370;1;90.4;158.8;212.8;248.8;190;3
697:371;1;90.4;158.8;212.8;248.8;174;3
697:372;1;90.4;158.8;212.8;248.8;172;3
697:373;1;72.32;127.04;170.24;199.04;9;1
698:319;1;19.5;40;52.2;65.3;77;5
698:320;1;102.4;205.8;250.2;295.6;252;4
698:321;1;89.6;157.2;211.2;247.2;289;5
698:322;1;89.6;157.2;211.2;247.2;252;5
698:323;1;89.6;157.2;211.2;247.2;221;4
698:324;1;89.6;157.2;211.2;247.2;188;3
698:325;1;89.6;157.2;211.2;247.2;170;3
698:326;1;89.6;157.2;211.2;247.2;219;4
698:327;1;89.6;157.2;211.2;247.2;169;3
698:328;1;89.6;157.2;211.2;247.2;254;5
698:329;1;89.6;157.2;211.2;247.2;302;5
698:330;1;89.6;157.2;211.2;247.2;260;5
698:331;1;89.6;157.2;211.2;247.2;182;3
698:332;1;89.6;157.2;211.2;247.2;214;4
698:333;1;89.6;157.2;211.2;247.2;194;3
698:334;1;89.6;157.2;211.2;247.2;168;3
698:335;1;89.6;157.2;211.2;247.2;260;5
698:336;1;89.6;157.2;211.2;247.2;261;5
698:337;1;89.6;157.2;211.2;247.2;187;3
698:338;1;89.6;157.2;211.2;247.2;274;5
698:339;1;89.6;157.2;211.2;247.2;263;5
698:340;1;89.6;157.2;211.2;247.2;218;4
698:341;1;89.6;157.2;211.2;247.2;199;3
698:342;1;89.6;157.2;211.2;247.2;233;4
698:343;1;89.6;157.2;211.2;247.2;174;3
698:344;1;89.6;157.2;211.2;247.2;271;5
698:345;1;89.6;157.2;211.2;247.2;189;3
698:346;1;89.6;157.2;211.2;247.2;173;3
698:347;1;89.6;157.2;211.2;247.2;188;3
698:348;1;89.6;157.2;211.2;247.2;167;3
698:349;1;89.6;157.2;211.2;247.2;165;3
698:350;1;89.6;157.2;211.2;247.2;164;3
698:351;1;89.6;157.2;211.2;247.2;192;3
698:352;1;71.68;125.76;168.96;197.76;202;5
698:353;1;89.6;157.2;211.2;247.2;262;5
698:354;1;71.68;125.76;168.96;197.76;220;5
698:355;1;89.6;157.2;211.2;247.2;265;5
698:356;1;89.6;157.2;211.2;247.2;209;3
698:357;1;89.6;157.2;211.2;247.2;282;5
698:358;1;89.6;157.2;211.2;247.2;265;5
698:359;1;89.6;157.2;211.2;247.2;251;5
698:360;1;89.6;157.2;211.2;247.2;218;4
698:361;1;89.6;157.2;211.2;247.2;256;5
698:362;1;89.6;157.2;211.2;247.2;325;5
698:363;1;89.6;157.2;211.2;247.2;306;5
698:364;1;89.6;157.2;211.2;247.2;214;4
698:365;1;89.6;157.2;211.2;247.2;248;5
698:366;1;89.6;157.2;211.2;247.2;289;5
698:367;1;89.6;157.2;211.2;247.2;192;3
698:368;1;89.6;157.2;211.2;247.2;174;3
698:369;1;89.6;157.2;211.2;247.2;171;3
698:370;1;89.6;157.2;211.2;247.2;171;3
698:371;1;89.6;157.2;211.2;247.2;196;3
698:372;1;89.6;157.2;211.2;247.2;171;3
698:373;1;71.68;125.76;168.96;197.76;136;3
699:318;1;51.8;104.6;129.2;154.9;122;3
699:319;1;51.8;104.6;129.2;154.9;134;4
699:320;1;85.9;172.8;210.8;249.8;260;5
699:321;1;93.2;187.4;228.3;270.1;250;4
699:322;1;88.8;155.6;209.6;245.6;293;5
699:323;1;88.8;155.6;209.6;245.6;223;4
699:324;1;88.8;155.6;209.6;245.6;226;4
699:325;1;88.8;155.6;209.6;245.6;222;4
699:326;1;88.8;155.6;209.6;245.6;254;5
699:327;1;88.8;155.6;209.6;245.6;173;3
699:328;1;88.8;155.6;209.6;245.6;171;3
699:329;1;88.8;155.6;209.6;245.6;283;5
699:330;1;88.8;155.6;209.6;245.6;235;4
699:331;1;88.8;155.6;209.6;245.6;212;4
699:332;1;88.8;155.6;209.6;245.6;226;4
699:333;1;88.8;155.6;209.6;245.6;291;5
699:334;1;88.8;155.6;209.6;245.6;187;3
699:335;1;88.8;155.6;209.6;245.6;185;3
699:336;1;88.8;155.6;209.6;245.6;212;4
699:337;1;88.8;155.6;209.6;245.6;206;3
699:338;1;88.8;155.6;209.6;245.6;168;3
699:339;1;88.8;155.6;209.6;245.6;171;3
699:340;1;88.8;155.6;209.6;245.6;164;3
699:341;1;88.8;155.6;209.6;245.6;184;3
699:342;1;88.8;155.6;209.6;245.6;183;3
699:343;1;88.8;155.6;209.6;245.6;204;3
699:344;1;88.8;155.6;209.6;245.6;253;5
699:345;1;88.8;155.6;209.6;245.6;169;3
699:346;1;88.8;155.6;209.6;245.6;162;3
699:347;1;88.8;155.6;209.6;245.6;198;3
699:348;1;88.8;155.6;209.6;245.6;179;3
699:349;1;88.8;155.6;209.6;245.6;169;3
699:350;1;88.8;155.6;209.6;245.6;195;3
699:351;1;88.8;155.6;209.6;245.6;223;4
